target,ids,date,flag,user,text,text_processed
0,2200003196,Tue Jun 16 18:18:12 PDT 2009,NO_QUERY,LaLaLindsey0609,@chrishasboobs AHHH I HOPE YOUR OK!!! ,"['chrishasboob', 'ahhh', 'hope', 'ok']"
0,1467998485,Mon Apr 06 23:11:14 PDT 2009,NO_QUERY,sexygrneyes,"@misstoriblack cool , i have no tweet apps  for my razr 2","['misstoriblack', 'cool', 'tweet', 'app', 'razr']"
0,2300048954,Tue Jun 23 13:40:11 PDT 2009,NO_QUERY,sammydearr,"@TiannaChaos i know  just family drama. its lame.hey next time u hang out with kim n u guys like have a sleepover or whatever, ill call u","['tiannachao', 'know', 'famili', 'drama', 'next', 'time', 'hang', 'guy', 'like', 'sleepov', 'whatev', 'call']"
0,1993474027,Mon Jun 01 10:26:07 PDT 2009,NO_QUERY,Lamb_Leanne,School email won't open  and I have geography stuff on there to revise! *Stupid School* :'(,"['school', 'email', 'open', 'geographi', 'stuff', 'revis', 'stupid', 'school']"
0,2256550904,Sat Jun 20 12:56:51 PDT 2009,NO_QUERY,yogicerdito,upper airways problem ,"['upper', 'airway', 'problem']"
0,2052380495,Sat Jun 06 00:32:16 PDT 2009,NO_QUERY,Yengching,Going to miss Pastor's sermon on Faith... ,"['go', 'miss', 'pastor', 'sermon']"
4,1983449090,Sun May 31 13:10:36 PDT 2009,NO_QUERY,jessig06,on lunch....dj should come eat with me ,['eat']
0,2245479748,Fri Jun 19 16:11:29 PDT 2009,NO_QUERY,felicityfuller,@piginthepoke oh why are you feeling like that? ,"['piginthepok', 'oh', 'whi', 'feel', 'like']"
0,1770705699,Mon May 11 22:01:32 PDT 2009,NO_QUERY,stephiiheyy,gahh noo!peyton needs to live!this is horrible ,"['gahh', 'noo', 'peyton', 'need', 'live', 'horribl']"
4,1970386589,Sat May 30 03:39:34 PDT 2009,NO_QUERY,wyndwitch,@mrstessyman thank you glad you like it! There is a product review bit on the site  Enjoy knitting it!,"['mrstessyman', 'thank', 'glad', 'like', 'product', 'review', 'bit', 'site', 'enjoy', 'knit']"
4,2052206835,Fri Jun 05 23:59:27 PDT 2009,NO_QUERY,salmafan,@PerezHilton Zach makes me pee sitting down! And I'm a grown gay man! ,"['perezhilton', 'zach', 'make', 'pee', 'grown', 'gay']"
4,1992273171,Mon Jun 01 08:29:05 PDT 2009,NO_QUERY,spanishman,to sum up my day in one word ......... kackered! ,"['sum', 'day', 'word', 'kacker']"
4,2069921255,Sun Jun 07 16:46:29 PDT 2009,NO_QUERY,DannyMacRant,@k9wkj Great minds think alike ,"['wkj', 'great', 'mind', 'think', 'alik']"
0,2204735567,Wed Jun 17 03:00:02 PDT 2009,NO_QUERY,Arabellakind,Is Poorly and in bed! ,"['poorli', 'bed']"
4,1553585468,Sat Apr 18 14:39:59 PDT 2009,NO_QUERY,Reisei,"@LilPecan Oh, that's really great  Here we have a small blizzard and also cold wind blows...","['lilpecan', 'oh', 'realli', 'great', 'small', 'blizzard', 'cold', 'wind']"
4,1834598659,Mon May 18 03:32:38 PDT 2009,NO_QUERY,andylackie,"@wizely lol, calm down.  i got a 30day loan offer for only 1500% ","['wize', 'lol', 'calm', 'got', 'day', 'loan', 'offer', 'onli']"
4,2190762188,Tue Jun 16 03:39:22 PDT 2009,NO_QUERY,biaromerok,"i'm feeling quite sleepy today, wish i could stay in bed today...but OK! is my LAST YEAR, so let's go to school ","['feel', 'quit', 'sleepi', 'today', 'wish', 'could', 'stay', 'bed', 'ok', 'last', 'year', 'let', 'go', 'school']"
0,1973926253,Sat May 30 12:06:09 PDT 2009,NO_QUERY,risha_,@nadalnews Yeah  Mathieu totally choked in the 3rd set to let Rog win as well. Djokovic played TERRIBLY.  ,"['nadalnew', 'yeah', 'mathieu', 'total', 'choke', 'rd', 'set', 'let', 'rog', 'win', 'well', 'djokov', 'play', 'terribl']"
0,2003334341,Tue Jun 02 06:20:35 PDT 2009,NO_QUERY,stephrunscity,"ugh, morning's off to a rough start ","['ugh', 'morn', 'rough', 'start']"
0,2063670257,Sun Jun 07 03:36:33 PDT 2009,NO_QUERY,cathymcewan,just bit my tongue ,"['bit', 'tongu']"
0,1994589777,Mon Jun 01 12:09:16 PDT 2009,NO_QUERY,Jaystevens3,@frandrescher Apparently you dont have time for ur fans!!!!!!!!!! ,"['frandresch', 'appar', 'dont', 'time', 'ur', 'fan']"
4,2054208245,Sat Jun 06 06:49:41 PDT 2009,NO_QUERY,MTVnHollyWEST23,Whaddup Whaddup Whaddup Whaddup Whaddup  I Got white girl swag from MY HEAD TO MY shOES Whaddup @yungla ,"['whaddup', 'whaddup', 'whaddup', 'whaddup', 'whaddup', 'got', 'white', 'girl', 'swag', 'head', 'shoe', 'whaddup', 'yungla']"
4,1957149371,Thu May 28 23:39:25 PDT 2009,NO_QUERY,Peaugh,"@GogDog I'd be willing to pay $40-50 (thus covering the cost of the set) for one of them, but if you've got a counter offer I'll listen. ","['gogdog', 'pay', 'thu', 'cover', 'cost', 'set', 'got', 'counter', 'offer', 'listen']"
4,2191233426,Tue Jun 16 04:49:51 PDT 2009,NO_QUERY,Kate_BridgeMin,Working on photos from Hillsong's 1 year celebration!!! stay tuned   www.hillsong.co.za,"['work', 'photo', 'hillsong', 'year', 'celebr', 'stay', 'tune']"
0,1676986264,Fri May 01 23:59:22 PDT 2009,NO_QUERY,babysitter187,"baby's chicken pox are soo bad on the face, I am afraid she might have scars ","['babi', 'chicken', 'pox', 'soo', 'bad', 'afraid', 'might', 'scar']"
0,2230296290,Thu Jun 18 16:54:56 PDT 2009,NO_QUERY,alyshmun,i don't feel good ,"['feel', 'good']"
4,1969042558,Fri May 29 22:52:37 PDT 2009,NO_QUERY,gcrush,@edadkins ha ha I want to see pictures from when you were a minister!!!  *boobie flahses*!!!! ,"['edadkin', 'see', 'pictur', 'minist', 'boobi', 'flahs']"
0,1963325067,Fri May 29 12:33:09 PDT 2009,NO_QUERY,oniwolf,This day will pass slowly.  All of these days will.  RAWR!!!!  ... ,"['day', 'slowli', 'day', 'rawr']"
0,2001978301,Tue Jun 02 02:43:56 PDT 2009,NO_QUERY,ENGLISHSMITH,my car is poorly ,"['car', 'poorli']"
4,1557804294,Sun Apr 19 06:04:37 PDT 2009,NO_QUERY,seokhye,im turning 18 one week from now  but i don't feel excited  i really don't know why i've seen my friends  they got excited  but on my part,"['turn', 'week', 'feel', 'excit', 'realli', 'know', 'whi', 'seen', 'friend', 'got', 'excit', 'part']"
4,1833745318,Mon May 18 00:18:36 PDT 2009,NO_QUERY,ladiejaja,No woooooork tomorrrow&amp;tuesday ,"['woooooork', 'tomorrrow', 'amp', 'tuesday']"
0,1880147585,Fri May 22 00:15:04 PDT 2009,NO_QUERY,mpwatson,Flatmates are still in the bathroom! ARGGH!! ,"['flatmat', 'still', 'bathroom', 'arggh']"
0,2181196503,Mon Jun 15 11:29:59 PDT 2009,NO_QUERY,grskell3,I'm having an allergic reaction to silver earings ,"['allerg', 'reaction', 'silver', 'ear']"
0,1999945855,Mon Jun 01 21:06:49 PDT 2009,NO_QUERY,nailbiter2,"@RocDoogie I am, I'll admit...  maybe I'll feel better tomorrow, yo! Down 4 studio time??","['rocdoogi', 'mayb', 'feel', 'better', 'tomorrow', 'studio', 'time']"
0,2216163585,Wed Jun 17 19:07:16 PDT 2009,NO_QUERY,violetile,"@jasonhooha Going back to sleep is such a great idea, unfortunately I'm already at work notebook-less ","['jasonhooha', 'go', 'back', 'sleep', 'great', 'idea', 'unfortun', 'alreadi', 'work', 'notebook']"
0,2183762428,Mon Jun 15 14:57:09 PDT 2009,NO_QUERY,RubyRedsocks,what is with msn making me click the wrong people. garrrrr ,"['msn', 'make', 'click', 'wrong', 'peopl', 'garrrrr']"
0,1975439689,Sat May 30 15:09:38 PDT 2009,NO_QUERY,smurfpop,Too full of fizz but not enough cider ,"['full', 'fizz', 'enough', 'cider']"
4,2180848798,Mon Jun 15 11:01:39 PDT 2009,NO_QUERY,MardiAliyah,How to Get Your Ex Back (worked for me  http://bit.ly/ec8qJ,"['get', 'ex', 'back', 'work']"
0,2323431705,Thu Jun 25 00:37:45 PDT 2009,NO_QUERY,Mystinguette,Time to sleep... Long day again tomorrow ,"['time', 'long', 'day', 'tomorrow']"
4,2188435142,Mon Jun 15 21:53:41 PDT 2009,NO_QUERY,EmelyCuellar,Hahaha blakk is reckkkin it. :p throwwwwwed. ,"['hahaha', 'blakk', 'reckkkin', 'p', 'throwwww']"
4,1981659749,Sun May 31 09:37:27 PDT 2009,NO_QUERY,jessrupsch,Cubs game today! My first ever ,"['cub', 'game', 'today', 'first', 'ever']"
4,2064079002,Sun Jun 07 05:09:02 PDT 2009,NO_QUERY,agirlcalledm,@SuzySpaatz ~ hi! sounds like you're feeling a bit better...that's great! you have a great day! ,"['suzyspaatz', 'hi', 'sound', 'like', 'feel', 'bit', 'great', 'great', 'day']"
4,1753196199,Sun May 10 00:31:36 PDT 2009,NO_QUERY,humanintersect,@foprof LOL.  Leave a kid on internet and the kid will do stupid things.,"['foprof', 'lol', 'leav', 'kid', 'internet', 'kid', 'stupid', 'thing']"
4,2013719127,Tue Jun 02 23:23:28 PDT 2009,NO_QUERY,iamericpham,eating cha with eric ,"['eat', 'cha', 'eric']"
4,2012896491,Tue Jun 02 21:30:06 PDT 2009,NO_QUERY,YwalkWhenUcnFLY,"@StarJonesEsq On a good note, we DID meet at Marty Richards RED BALL a few years ago, you were so sweet to me I'll never forget it ","['starjonesesq', 'good', 'note', 'meet', 'marti', 'richard', 'red', 'ball', 'year', 'ago', 'sweet', 'never', 'forget']"
0,2222469531,Thu Jun 18 07:01:32 PDT 2009,NO_QUERY,Mr_Alien,My hands are officially tied. I don't think I'll have time for anything anymore  This includes the California meet ,"['hand', 'offici', 'tie', 'think', 'time', 'anyth', 'anymor', 'includ', 'california', 'meet']"
4,1770583669,Mon May 11 21:43:17 PDT 2009,NO_QUERY,zombot,"@Konstantine I said &quot;scar,&quot; sweetie. ","['konstantin', 'said', 'quot', 'scar', 'quot', 'sweeti']"
0,1880738950,Fri May 22 02:19:37 PDT 2009,NO_QUERY,_vio_,@CamilleJ it was supposed to go live on tv but it didn't happened in the end  that would have been cool being on the bbc...,"['camillej', 'wa', 'suppos', 'go', 'live', 'tv', 'happen', 'would', 'cool']"
4,1827493751,Sun May 17 10:49:45 PDT 2009,NO_QUERY,Rasmussos,FCK-Br�ndby 4-0! ,"['fck', 'br', 'ndbi']"
0,2226909167,Thu Jun 18 12:32:19 PDT 2009,NO_QUERY,themcflyoldies,@team_allen jealous!  I'm yet to find a local chinese i'm satisfied with ,"['team', 'jealou', 'yet', 'find', 'local', 'chine', 'satisfi']"
4,2050490807,Fri Jun 05 18:45:48 PDT 2009,NO_QUERY,tanyanoel,@BayAreaCheap there r a few of us local yocals around  happy to find u on twitter 2day,"['bayareacheap', 'r', 'local', 'yocal', 'around', 'happi', 'find', 'twitter', 'day']"
4,2061151950,Sat Jun 06 20:16:58 PDT 2009,NO_QUERY,Doctor_Rob,"just back from SuperCheap - a most successful trip. The bikes are tanked &amp; checked for the week, so all ready to start relaxing ","['back', 'supercheap', 'success', 'trip', 'bike', 'tank', 'amp', 'check', 'week', 'readi', 'start', 'relax']"
0,1792998329,Thu May 14 00:59:39 PDT 2009,NO_QUERY,sparetyme,@ElleChanel want to shoot...but i'm not in charlotte .. ,"['ellechanel', 'charlott']"
4,2190444209,Tue Jun 16 02:44:54 PDT 2009,NO_QUERY,pechapanda,@sephrenia1982 good work ,"['sephrenia', 'good', 'work']"
4,1966468123,Fri May 29 17:49:21 PDT 2009,NO_QUERY,Boddingtons,@KingdomGuard welcome new cd out this week...maybe even tomorrow! ,"['kingdomguard', 'welcom', 'new', 'cd', 'even', 'tomorrow']"
0,2302410832,Tue Jun 23 16:46:11 PDT 2009,NO_QUERY,PRAYERWARRIORMA,@CatholicChicks hate bein on the phone that long ,"['catholicchick', 'hate', 'bein', 'phone', 'long']"
4,1965260370,Fri May 29 15:36:25 PDT 2009,NO_QUERY,raphaelmalikian,"If anyone wanted to attend TEDMED but can't make the date, I'll happily take your place, and will live-blog it for you too ","['anyon', 'attend', 'tedm', 'make', 'date', 'happili', 'place', 'live', 'blog']"
4,1834643142,Mon May 18 03:42:25 PDT 2009,NO_QUERY,Geelong_FC,@melbgirl It means the same to us!  #GoCats,"['melbgirl', 'mean', 'gocat']"
0,1982797757,Sun May 31 11:55:25 PDT 2009,NO_QUERY,Juliaw467,"beach this morning,bbq this afternoon. Back to school/work 2morro ","['beach', 'morn', 'bbq', 'afternoon', 'back', 'school', 'work', 'morro']"
4,1754424886,Sun May 10 06:13:32 PDT 2009,NO_QUERY,Jass53,@joshlam and you are how old?? REALLY?!? ,"['joshlam', 'old', 'realli']"
0,2204709175,Wed Jun 17 02:55:54 PDT 2009,NO_QUERY,conceptdev,@bing siteowner custom search box fail... &quot;market&quot;:&quot;en-AU&quot; does nothing - it still targets US search   should be &quot;only from australia&quot;??,"['bing', 'siteown', 'custom', 'search', 'box', 'quot', 'market', 'quot', 'quot', 'quot', 'doe', 'noth', 'still', 'target', 'search', 'quot', 'onli', 'australia', 'quot']"
4,2059230189,Sat Jun 06 16:30:39 PDT 2009,NO_QUERY,Magmoman,Watched Crank 2.... awesome ,"['watch', 'crank', 'awesom']"
4,2189212995,Mon Jun 15 23:30:17 PDT 2009,NO_QUERY,RockIt_Man,@TheUncoolest ,['theuncoolest']
4,2061920911,Sat Jun 06 21:55:04 PDT 2009,NO_QUERY,jodicobb,Night in with the rock star...  ,"['night', 'rock']"
4,1971411001,Sat May 30 07:02:50 PDT 2009,NO_QUERY,stavsxx,@BATYASMUSIC Don't really have a reason.. haha sounds stupid. I'll be 14 ,"['batyasmus', 'realli', 'haha', 'sound', 'stupid']"
4,1751678466,Sat May 09 20:00:55 PDT 2009,NO_QUERY,ksatt,first night in myers. just not the same w/out lydia!  but i'm actually excited about this summer! ,"['first', 'night', 'myer', 'w', 'lydia', 'actual', 'excit', 'summer']"
0,2298320128,Tue Jun 23 11:31:48 PDT 2009,NO_QUERY,wenckeo,"my tooth is sving, and I cannot see my dentist for a week ","['tooth', 'sving', 'see', 'dentist', 'week']"
0,1978973167,Sun May 31 01:08:05 PDT 2009,NO_QUERY,paulagutz2,cant sleep got heartburn really bad ,"['cant', 'sleep', 'got', 'heartburn', 'realli', 'bad']"
4,2053167034,Sat Jun 06 03:32:13 PDT 2009,NO_QUERY,playleimagery,Off to Whipsnade  Hope it's dry,"['whipsnad', 'hope', 'dri']"
0,2202402887,Tue Jun 16 21:44:13 PDT 2009,NO_QUERY,EvadaJsMomma,Going To Bed ...My Ankle Hurts ,"['go', 'bed', 'ankl', 'hurt']"
0,2070395570,Sun Jun 07 17:37:10 PDT 2009,NO_QUERY,cindypar7,hates the fact she scanned the wrong passage in all those commentaries she was going to use for her essay ,"['hate', 'fact', 'scan', 'wrong', 'passag', 'commentari', 'wa', 'go', 'use', 'essay']"
0,2013951848,Wed Jun 03 00:02:11 PDT 2009,NO_QUERY,singingchicky,I shame the name of female  lol Alright. Shower then sleep then get up in like 5 hours.,"['shame', 'femal', 'lol', 'alright', 'shower', 'sleep', 'get', 'like', 'hour']"
4,2015570824,Wed Jun 03 05:00:24 PDT 2009,NO_QUERY,AnotherJulia,"@disil429 Fine. Kinders coughing again, so not a lot of sleep. Weather's good, though, that's the main thing ","['disil', 'fine', 'kinder', 'cough', 'lot', 'sleep', 'weather', 'good', 'though', 'main', 'thing']"
4,1827869854,Sun May 17 11:37:05 PDT 2009,NO_QUERY,SarahStramel,Listening to the Nutcracker.  Who says it's only a Christmas thing?! ,"['listen', 'nutcrack', 'say', 'onli', 'christma', 'thing']"
4,1755641038,Sun May 10 09:39:21 PDT 2009,NO_QUERY,akaBeetroot,"i miss him, i cant wait to see him, im happy ","['miss', 'cant', 'wait', 'see', 'happi']"
0,2049895505,Fri Jun 05 17:41:34 PDT 2009,NO_QUERY,nikechik,@tristanwilds are you missing me? i'm missing my tuesday nights of 90210 ,"['tristanwild', 'miss', 'miss', 'tuesday', 'night']"
4,2071479153,Sun Jun 07 19:27:50 PDT 2009,NO_QUERY,lattojoyy,"@mithss mourniiiiiiing eh, morniiing!!! ","['mithss', 'mourniiiiii', 'eh', 'mornii']"
4,1573581650,Tue Apr 21 01:51:27 PDT 2009,NO_QUERY,konghee,@pamelaong Glad the blog helped ,"['pamelaong', 'glad', 'blog', 'help']"
4,1823943120,Sat May 16 23:30:02 PDT 2009,NO_QUERY,AlphaXi26,Awesome pumpkin! Your famous ,"['awesom', 'pumpkin', 'famou']"
0,2061947730,Sat Jun 06 21:58:48 PDT 2009,NO_QUERY,Ragensi,"@ScarlettHarlott Sadly , I've never seen a single episode. I know , I'm fired , right? ","['scarlettharlott', 'sadli', 'never', 'seen', 'singl', 'episod', 'know', 'fire', 'right']"
4,1957701428,Fri May 29 01:19:53 PDT 2009,NO_QUERY,SleepyJane,@LucasGo Haha. I will! o.O Hows you?  Long time no @ reply.,"['lucasgo', 'haha', 'long', 'time', 'repli']"
0,1467871545,Mon Apr 06 22:35:40 PDT 2009,NO_QUERY,Cherye101,"@PaulaAbdul awww, Good luck Paula!! Please don't work too hard  but I hope you have fun  Your new album is gonna be amazing!  xxx","['paulaabdul', 'awww', 'good', 'luck', 'paula', 'plea', 'work', 'hard', 'hope', 'fun', 'new', 'album', 'gon', 'amaz', 'xxx']"
4,2193528694,Tue Jun 16 08:34:51 PDT 2009,NO_QUERY,WAmarriage,Seattle PRIDE will be June 28th at 11am.  Come out and support your community! March with the marriage equality contingent! ,"['seattl', 'pride', 'june', 'th', 'support', 'commun', 'march', 'marriag', 'equal', 'conting']"
4,1965430637,Fri May 29 15:54:31 PDT 2009,NO_QUERY,ahmednaguib,"@Lujee seriosuly, the second one &quot;since I'm already a mid. class dude and would work for food&quot; ","['luje', 'seriosuli', 'second', 'quot', 'sinc', 'alreadi', 'mid', 'class', 'dude', 'would', 'work', 'food', 'quot']"
0,2174824047,Sun Jun 14 23:24:06 PDT 2009,NO_QUERY,jeyjeylu,at school...listining to die Ärzte - Westerland...great song really..btw i'm so tired...i sleeped between 02:30 and 05:30..thats bad ,"['rzte', 'song', 'sleep', 'bad']"
0,1836510110,Mon May 18 08:07:33 PDT 2009,NO_QUERY,natalieavendano,I am so hungry  I hate not eating breakfast!,"['hungri', 'hate', 'eat', 'breakfast']"
0,2217173197,Wed Jun 17 20:29:42 PDT 2009,NO_QUERY,allyd0124,ewww if i work at fazoli's i have to year a viser...and ugly shoes...and a pony tail...and no nail polish ,"['ewww', 'work', 'fazoli', 'year', 'ugli', 'poni', 'nail', 'polish']"
4,2052562282,Sat Jun 06 01:09:42 PDT 2009,NO_QUERY,Inyxia,@ZippyC NO. IT'S FULL OF WIN AND I LUV IT. &lt;3 I've been meaning to catch up to where it's at now for ages. NOW I HAVE. ,"['zippyc', 'full', 'win', 'luv', 'lt', 'mean', 'catch', 'age']"
0,1971801597,Sat May 30 07:55:49 PDT 2009,NO_QUERY,caffeinebomb,Oft. As finished as I can be. Can I relax and be on holiday now? I think I've missed the acceptable slot for lunch. ,"['oft', 'finish', 'relax', 'holiday', 'think', 'miss', 'accept', 'slot', 'lunch']"
4,1967511412,Fri May 29 19:42:58 PDT 2009,NO_QUERY,snickers1015,@ItsNeet 100%.. its like getting an A for all your classes.. ,"['itsneet', 'like', 'get']"
4,1835989661,Mon May 18 07:09:24 PDT 2009,NO_QUERY,mar_spain,"@seblefebvre Hi Seb! I'm a spanish fan of you.I'm addicted to SP and I think it's the best band in the world!please, come to spain early ","['seblefebvr', 'hi', 'seb', 'spanish', 'fan', 'addict', 'sp', 'think', 'best', 'band', 'world', 'plea', 'spain', 'earli']"
4,1974221419,Sat May 30 12:41:07 PDT 2009,NO_QUERY,mama_craft,Home from soccer. It's so hot out there today. We have retreated to the coolness of the basement. ,"['home', 'soccer', 'hot', 'today', 'retreat', 'cool', 'basement']"
4,1990422918,Mon Jun 01 04:49:53 PDT 2009,NO_QUERY,monadetail,i have find my someone ,"['find', 'someon']"
4,2068535310,Sun Jun 07 14:14:58 PDT 2009,NO_QUERY,FugaziPatrol,@marqueshouston We are the &quot;Fugazi Patrol&quot; &amp; our motto is &quot;If u see a clown point em out&quot; please let everyone know about us ,"['marqueshouston', 'quot', 'fugazi', 'patrol', 'quot', 'amp', 'motto', 'quot', 'see', 'clown', 'point', 'quot', 'plea', 'let', 'everyon', 'know']"
4,2001445043,Tue Jun 02 00:54:35 PDT 2009,NO_QUERY,isaytunnaa,it is ginormous... Haha well i  feel wierd talking about myy ziiiit  ta ta  good nightt,"['haha', 'well', 'feel', 'wierd', 'talk', 'myy', 'ziiiit', 'good', 'nightt']"
4,2070601343,Sun Jun 07 17:59:14 PDT 2009,NO_QUERY,Mel_Preston,I'm obsessed with twitting  haha,"['twit', 'haha']"
4,1694881980,Mon May 04 04:28:34 PDT 2009,NO_QUERY,uexpectme2talk,One interlock down one to go ,"['interlock', 'go']"
0,2232041041,Thu Jun 18 19:22:16 PDT 2009,NO_QUERY,glimmeringbethy,"ugh...summer colds are the worst, esp when you have a fever on top of this ridic humidity ","['cold', 'worst', 'esp', 'fever', 'top', 'ridic', 'humid']"
0,2068816061,Sun Jun 07 14:45:03 PDT 2009,NO_QUERY,RetroCringe,I miss Zack so much these days ,"['miss', 'zack', 'much', 'day']"
0,2051178100,Fri Jun 05 20:58:42 PDT 2009,NO_QUERY,notgoth007,@dbferguson I'm using an Asus. Forget which one at the moment since I don't have it near me.But my complaints are similar to yours. ,"['dbferguson', 'use', 'asu', 'forget', 'moment', 'sinc', 'near', 'complaint', 'similar']"
4,2000986359,Mon Jun 01 23:30:45 PDT 2009,NO_QUERY,LogomotiveMike,"@powersurf OH I've Got a case. I designed it. Someone idiot stole it and I can prove it. If they want to play hardball,I'm game. ","['powersurf', 'oh', 'got', 'case', 'design', 'someon', 'idiot', 'stole', 'prove', 'play', 'hardbal', 'game']"
